State,Population
JandK,13480000
HimachalPradesh,7349000
Punjab,30399000
Haryana,29483000
Delhi,20571000
Rajasthsan,79281000
UttarPradesh,230907000
Bihar,123083000
Assam,35043000
WestBengal,98125000
Jharkand,38471000
Odisha,45696000
Chattisgarh,29493000
MadhyaPradesh,84516000
Gujarat,69788000
Maharashtra,124437000
AndhraPradesh,52787000
Karnataka,66845000
Kerala,35489000
TamilNadu,76402000
Chandigarh,1208000
Uttarakhand ,11399000
Sikkim,677000
ArunachalPradesh,1533000
Nagaland,2192000
Manipur,3165000
Mizoram,1216000
Tripura,4071000
Meghalaya,3288000
Goa,1559000
Puducherry,1571000
Telangana,37725000
Ladakh,297000
Lakshwadeep,68000
Andamans,400000
DamanDiu,469000
